Name of Vessel,Captain,Tons,Ship Type,Nationality,To whom consigned,From,Latitude (from),Longitude (from),Date Arr. (dd/mm/yyy),Date Dep. (dd/mm/yyy),Bound to,Latitude (to),Longitude (to),Report Date (dd/mm/yyy),Page
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,30/01/1909 00:00:00,03/02/1909 00:00:00,Mombasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Concordia Sailing ship,Eriksen,1207,Cargo,Norwegian,N.E.A.T. Co.,Fredrikshald,59.1329964,11.3874569,30/01/1909 00:00:00,,Fredrikshald,59.1329964,11.3874569,09/02/1909 00:00:00,12
Berbera s.s.,Packham,2791,Cargo,British,S. M. & Co.,London,51.5072178,-0.1275862,31/01/1909 00:00:00,03/02/1909 00:00:00,Mombasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,02/02/1909 00:00:00,08/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,09/02/1909 00:00:00,12
M. Meanatchey s.s.,Tilling,1368,Cargo,British,S. M. & Co.,Aden,12.7906378,45.0175921,03/02/1909 00:00:00,,Aden,12.7906378,45.0175921,09/02/1909 00:00:00,12
Rovuma s.s.,Hasseinitter,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,03/02/1909 00:00:00,04/02/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,09/02/1909 00:00:00,12
Admiral s.s.,Doherr,3696,Cargo,German,D.O.A.L.,Durban,-29.8586804,31.0218404,04/02/1909 00:00:00,07/02/1909 00:00:00,Europe,54.5259614,15.2551187,09/02/1909 00:00:00,12
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,04/02/1909 00:00:00,08/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,09/02/1909 00:00:00,12
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Aden,12.7906378,45.0175921,07/02/1909 00:00:00,,Aden,12.7906378,45.0175921,09/02/1909 00:00:00,12
Cougella s.s.,Howes,1022,Cargo,British,,Bombay,19.0759837,72.8776559,07/02/1909 00:00:00,07/02/1909 00:00:00,Durban,-29.8586804,31.0218404,09/02/1909 00:00:00,12
Hermione H.M.S.,C.E. Hunter,,Men-of-War,British,,Mombasa,-4.0434771,39.6682065,29/01/1909 00:00:00,09/02/1909 00:00:00,Monbasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Concordia Sailing ship,Eriksen,1207,Cargo,Norwegian,N.E.A.T. Co.,Fredrikshald,59.1329964,11.3874569,30/01/1909 00:00:00,22/02/1909 00:00:00,India,20.593684,78.96288,16/02/1909 00:00:00,28
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,11/02/1909 00:00:00,22/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,16/02/1909 00:00:00,28
Clematis s.s.,Davies,2329,Cargo,British,B. Hirji,Rangoon,16.840939,96.173526,13/02/1909 00:00:00,22/02/1909 00:00:00,Tanzania,-6.369028,34.888822,16/02/1909 00:00:00,28
Kaiser s.s.,Pohlenz,1714,Cargo,German,D.O.A.L.,Durban,-29.8586804,31.0218404,14/02/1909 00:00:00,17/02/1909 00:00:00,Bombay,19.0759837,72.8776559,16/02/1909 00:00:00,28
Erna Woermann s.s.,Becher,3482,Cargo,German,D.O.A.L.,Germany Coast,51.165691,10.451526,17/02/1909 00:00:00,18/02/1909 00:00:00,South Africa,-30.559482,22.937506,16/02/1909 00:00:00,28
Burgermeister s.s.,Fudler,3672,Cargo,German,D.O.A.L.,Hamburg,53.5488282,9.9871703,18/02/1909 00:00:00,19/02/1909 00:00:00,Cape Town,-33.922087,18.4231418,16/02/1909 00:00:00,28
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,18/02/1909 00:00:00,22/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,16/02/1909 00:00:00,28
Gouverneur s.s.,Burmeister,2096,Cargo,German,D.O.A.L.,Bombay,19.0759837,72.8776559,22/02/1909 00:00:00,20/02/1909 00:00:00,Germany Coast,51.165691,10.451526,16/02/1909 00:00:00,28
Tuna s.s.,McLean,259,Cargo,British,C. D. & Bros.,Aden,12.7906378,45.0175921,23/02/1909 00:00:00,,Aden,12.7906378,45.0175921,16/02/1909 00:00:00,28
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Kismayu,-0.3560455,42.5460573,23/02/1909 00:00:00,,Kismayu,-0.3560455,42.5460573,16/02/1909 00:00:00,28
Kaiser Wilhelm II s.s.,Prussing,97,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,01/02/1909 00:00:00,,Daressalaam,-6.8165054,39.2894367,16/02/1909 00:00:00,28
Caprera R.I.N,H. O. Fascili,,Men-of-War,Italian,,Kismayu,-0.3560455,42.5460573,15/02/1909 00:00:00,,Kismayu,-0.3560455,42.5460573,16/02/1909 00:00:00,28
Hearty H. M. S.,C. E. Hunter,,Men-of-War,British,,Mombasa,-4.0434771,39.6682065,18/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,09/02/1909 00:00:00,28
Bussard S.M.S.,H. K. Menger,,Men-of-War,German,,Daressalaam,-6.8165054,39.2894367,21/02/1909 00:00:00,22/02/1909 00:00:00,Tanzania,-6.369028,34.888822,09/02/1909 00:00:00,28
Tuna s.s.,McLean,259,Cargo,British,C. D. & Bros.,Aden,12.7906378,45.0175921,22/02/1909 00:00:00,24/02/1909 00:00:00,Aden via Benadir,12.7906378,45.0175921,02/03/1909 00:00:00,37
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Kismayu,-0.3560455,42.5460573,23/02/1909 00:00:00,24/02/1909 00:00:00,Kismayu,-0.3560455,42.5460573,02/03/1909 00:00:00,37
Kaiser Wilhelm II s.s.,Prussing,97,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,23/02/1909 00:00:00,24/02/1909 00:00:00,Mombasa,-4.0434771,39.6682065,02/03/1909 00:00:00,37
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,24/02/1909 00:00:00,01/03/1909 00:00:00,Pemba,-5.0319352,39.7755571,02/03/1909 00:00:00,37
Prinzregent s.s.,Gauhe,3747,Cargo,German,D.O.A.L.,Durban,-29.8586804,31.0218404,25/02/1909 00:00:00,28/02/1909 00:00:00,Europe,54.5259614,15.2551187,02/03/1909 00:00:00,37
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,25/02/1909 00:00:00,,Pemba,-5.0319352,39.7755571,02/03/1909 00:00:00,37
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,02/03/1909 00:00:00,37
Djemnah s.s.,Casano,2251,Cargo,French,M.M. & Co.,Madagascar,-18.766947,46.869107,26/02/1909 00:00:00,27/02/1909 00:00:00,Europe,54.5259614,15.2551187,02/03/1909 00:00:00,37
Rovuma s.s.,Hasseinitter,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,27/02/1909 00:00:00,01/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,02/03/1909 00:00:00,37
Gouverneur s.s.,Burmeister,2096,Cargo,German,D.O.A.L.,South Africa,-30.559482,22.937506,28/02/1909 00:00:00,01/03/1909 00:00:00,Bombay,19.0759837,72.8776559,02/03/1909 00:00:00,37
Melbourne s.s.,Combe,2425,Cargo,French,M.M. & Co.,Marseilles,43.3025742,5.3690743,28/02/1909 00:00:00,01/03/1909 00:00:00,Madagascar,-18.766947,46.869107,02/03/1909 00:00:00,37
Kanzler s.s.,Michelsen,1840,Cargo,German,D.O.A.L.,Bombay,19.0759837,72.8776559,02/03/1909 00:00:00,,Bombay,19.0759837,72.8776559,02/03/1909 00:00:00,37
Caprera R.I.N,H.O. Fasella,,Men-of-War,Italian,,Kismayu,-0.3560455,42.5460573,13/02/1909 00:00:00,,Kismayu,-0.3560455,42.5460573,02/03/1909 00:00:00,37
Hermione H.M.S.,C.E. Hunter,,Men-of-War,British,,Mombasa,-4.0434771,39.6682065,18/02/1909 00:00:00,24/02/1909 00:00:00,Delagoabay,-26.0828425,32.7633036,02/03/1909 00:00:00,37
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,25/02/1909 00:00:00,09/03/1909 00:00:00,Pangani,-5.4253802,38.975937,09/03/1909 00:00:00,44
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,09/03/1909 00:00:00,44
Kanzler s.s.,Michelson,1840,Cargo,German,D.O.A.L.,Bombay,19.0759837,72.8776559,02/03/1909 00:00:00,03/03/1909 00:00:00,Durban,-29.8586804,31.0218404,09/03/1909 00:00:00,44
M. Meanntchey s.s.,Tilling,1368,Cargo,British,S. M. & Co.,Aden,12.7906378,45.0175921,03/03/1909 00:00:00,08/03/1909 00:00:00,Aden,12.7906378,45.0175921,09/03/1909 00:00:00,44
Kaiser Wilhelm II s.s.,Prussing,97,Cargo,German,C. D. & Bros.,Bagamoyo,-6.4456338,38.898941,03/03/1909 00:00:00,05/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,09/03/1909 00:00:00,44
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,04/03/1909 00:00:00,08/03/1909 00:00:00,Pemba,-5.0319352,39.7755571,09/03/1909 00:00:00,44
Erna Woermann s.s.,Becher,3452,Cargo,German,D.O.A.L.,South Africa,-30.559482,22.937506,05/03/1909 00:00:00,09/03/1909 00:00:00,Europe,54.5259614,15.2551187,09/03/1909 00:00:00,44
Wami s.s.,Schnieders,25,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,08/03/1909 00:00:00,09/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,09/03/1909 00:00:00,44
Caprera R.I.N,H.O. Fasella,,Men-of-War,Italian,,Kismayu,-0.3560455,42.5460573,13/02/1909 00:00:00,04/03/1909 00:00:00,Benadir Coast,2.1065414,45.3933422,09/03/1909 00:00:00,44
Vesuvio R.I.N.,B.R. de Cervin,,Men-of-War,Italian,,Mahe,-4.6826693,55.480396,07/03/1909 00:00:00,,Mahe,-4.6826693,55.480396,09/03/1909 00:00:00,44
Bussard S.M.S.,H.K. Menger,,Men-of-War,German,,Sadani,-6.0450744,38.7754249,09/03/1909 00:00:00,09/03/1909 00:00:00,German Coast,53.5511,9.9937,09/03/1909 00:00:00,44
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,16/03/1909 00:00:00,53
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Kismayu,-0.3560455,42.5460573,10/03/1909 00:00:00,11/03/1909 00:00:00,Kismayu,-0.3560455,42.5460573,16/03/1909 00:00:00,53
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,10/03/1909 00:00:00,15/03/1909 00:00:00,Pemba,-5.0319352,39.7755571,16/03/1909 00:00:00,53
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,11/03/1909 00:00:00,15/03/1909 00:00:00,Lamu,-2.2695575,40.9006408,16/03/1909 00:00:00,53
Wami s.s.,Schnieders,25,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,11/03/1909 00:00:00,12/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,16/03/1909 00:00:00,53
Nourél Bhar s.s,Mohomed,300,Cargo,Mascut,H. H. The Sultan,Mascut,23.5880307,58.3828717,12/03/1909 00:00:00,,Mascut,23.5880307,58.3828717,16/03/1909 00:00:00,53
Präsident,Muhlhaner,2069,Cargo,German,D.O.A.L.,Bombay,19.0759837,72.8776559,12/03/1909 00:00:00,13/03/1909 00:00:00,Germany Coast,51.165691,10.451526,16/03/1909 00:00:00,53
Gertrud Woermann s.s.,Carstens,4081,Cargo,German,D.O.A.L.,Hamburg,53.5488282,9.9871703,13/03/1909 00:00:00,16/03/1909 00:00:00,Cape Town,-33.922087,18.4231418,16/03/1909 00:00:00,53
Den of Kelly s.s.,Thomson,2875,Cargo,British,S. M. & Co.,London,51.5072178,-0.1275862,16/03/1909 00:00:00,,London,51.5072178,-0.1275862,16/03/1909 00:00:00,53
Vesuvio R.I.N.,B.R. de Cervin,,Men-of-War,Italian,,Mahe,-4.6826693,55.480396,07/03/1909 00:00:00,,Mahe,-4.6826693,55.480396,16/03/1909 00:00:00,53
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,23/03/1909 00:00:00,62
Nourél Bhar s.s,Mohomed,300,Cargo,Mascut,H. H. The Sultan,Mascut,23.5880307,58.3828717,12/03/1909 00:00:00,,Mascut,23.5880307,58.3828717,23/03/1909 00:00:00,62
Den of Kelly s.s,Thomson,2875,Cargo,British,S. M. & Co.,London,51.5072178,-0.1275862,16/03/1909 00:00:00,21/03/1909 00:00:00,Djibouti,11.825138,42.590275,23/03/1909 00:00:00,62
Adolph Woermann s.s,Jeversen,3905,Cargo,German,D.O.A.L.,Durban,-29.8586804,31.0218404,18/03/1909 00:00:00,21/03/1909 00:00:00,Europe,54.5259614,15.2551187,23/03/1909 00:00:00,62
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,18/03/1909 00:00:00,22/03/1909 00:00:00,Pemba,-5.0319352,39.7755571,23/03/1909 00:00:00,62
Barawa s.s,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Lamu,-2.2695575,40.9006408,19/03/1909 00:00:00,,Lamu,-2.2695575,40.9006408,23/03/1909 00:00:00,62
Präsident,Muhlbaner,2069,Cargo,German,D.O.A.L.,South Africa,-30.559482,22.937506,21/03/1909 00:00:00,22/03/1909 00:00:00,Bombay,19.0759837,72.8776559,23/03/1909 00:00:00,62
Rovuma s.s.,Hassimitter,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,23/03/1909 00:00:00,,Daressalaam,-6.8165054,39.2894367,23/03/1909 00:00:00,62
Vesuvio R.I.N.,B.R. de Cervin,,Men-of-War,Italian,,Mahe,-4.6826693,55.480396,07/03/1909 00:00:00,,Benadir Coast,2.1065414,45.3933422,23/03/1909 00:00:00,62
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,30/03/1909 00:00:00,70
Nourél Bhar s.s,Mohomed,300,Cargo,Mascut,H. H. The Sultan,Mascut,23.5880307,58.3828717,12/03/1909 00:00:00,25/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,30/03/1909 00:00:00,70
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Lamu,-2.2695575,40.9006408,19/03/1909 00:00:00,26/03/1909 00:00:00,Pangani,-5.4253802,38.975937,30/03/1909 00:00:00,70
Rovuma s.s.,Hasseinitter,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,23/03/1909 00:00:00,24/03/1909 00:00:00,Mombasa,-4.0434771,39.6682065,30/03/1909 00:00:00,70
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Kismayu,-0.3560455,42.5460573,24/03/1909 00:00:00,26/03/1909 00:00:00,Kismayu,-0.3560455,42.5460573,30/03/1909 00:00:00,70
Eduard Woermann s.s.,Deppen,3522,Cargo,German,D.O.A.L.,Hamburg,53.5488282,9.9871703,24/03/1909 00:00:00,,Hamburg,53.5488282,9.9871703,30/03/1909 00:00:00,70
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,25/03/1909 00:00:00,,Pemba,-5.0319352,39.7755571,30/03/1909 00:00:00,70
Kaiser s.s.,Holds,1714,Cargo,German,D.O.A.L.,Bombay,19.0759837,72.8776559,26/03/1909 00:00:00,27/03/1909 00:00:00,Durban,-29.8586804,31.0218404,30/03/1909 00:00:00,70
Melbourne s.s.,Combe,2425,Cargo,French,M.M. & Co.,Madagascar,-18.766947,46.869107,26/03/1909 00:00:00,27/03/1909 00:00:00,Marseilles,43.3025742,5.3690743,30/03/1909 00:00:00,70
Rufiyi s.s.,Terfolth,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,27/03/1909 00:00:00,30/03/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,30/03/1909 00:00:00,70
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pangani,-5.4253802,38.975937,27/03/1909 00:00:00,30/03/1909 00:00:00,Pemba,-5.0319352,39.7755571,30/03/1909 00:00:00,70
Oxus s.s.,Protet,2269,Cargo,French,M.M. & Co.,Marseilles,43.3025742,5.3690743,30/03/1909 00:00:00,30/03/1909 00:00:00,Madagascar,-18.766947,46.869107,30/03/1909 00:00:00,70
Mozaffari s.s.,Molony,1387,Cargo,British,G. B. Somji & Co.,Bombay,19.0759837,72.8776559,30/03/1909 00:00:00,,Bombay,19.0759837,72.8776559,30/03/1909 00:00:00,70
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,25/02/1909 00:00:00,,Mombasa,-4.0434771,39.6682065,06/04/1909 00:00:00,78
Eduard Woermanns s.s.,Deppen,3522,Cargo,German,D.O.A.L.,Hamburg,53.5488282,9.9871703,24/03/1909 00:00:00,01/04/1909 00:00:00,Seychelles,-4.679574,55.491977,06/04/1909 00:00:00,78
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,25/03/1909 00:00:00,01/04/1909 00:00:00,Pemba,-5.0319352,39.7755571,06/04/1909 00:00:00,78
